task_id,text,code,test_list,test_setup_code,challenge_test_list,function_name,codegen_prompt,pred_code
108,Write a function to merge multiple sorted inputs into a single sorted iterator using heap queue algorithm.,"import heapq
def merge_sorted_list(num1,num2,num3):
  num1=sorted(num1)
  num2=sorted(num2)
  num3=sorted(num3)
  result = heapq.merge(num1,num2,num3)
  return list(result)","['assert merge_sorted_list([25, 24, 15, 4, 5, 29, 110],[19, 20, 11, 56, 25, 233, 154],[24, 26, 54, 48])==[4, 5, 11, 15, 19, 20, 24, 24, 25, 25, 26, 29, 48, 54, 56, 110, 154, 233]'
 'assert merge_sorted_list([1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12])==[1, 1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 8, 9, 11, 12]'
 'assert merge_sorted_list([18, 14, 10, 9, 8, 7, 9, 3, 2, 4, 1],[25, 35, 22, 85, 14, 65, 75, 25, 58],[12, 74, 9, 50, 61, 41])==[1, 2, 3, 4, 7, 8, 9, 9, 9, 10, 12, 14, 14, 18, 22, 25, 25, 35, 41, 50, 58, 61, 65, 74, 75, 85]']",,[],merge_sorted_list,"
<question>
Write a function to merge multiple sorted inputs into a single sorted iterator using heap queue algorithm.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: merge_sorted_list</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","import heapq

def merge_sorted_list(*inputs):
    """"""
    Merge multiple sorted inputs into a single sorted iterator using heap queue algorithm.

    Args:
        *inputs: Variable number of sorted inputs.

    Yields:
        The next item in the sorted iterator.
    """"""
    # Create a priority queue to store the current smallest item from each input
    queue = []
    # Iterate over each input and its index
    for idx, input_iter in enumerate(inputs):
        # Try to get the first item from the input
        try:
            # Get the next item from the input
            item = next(input_iter)
            # Push the item, its index, and the input iterator onto the priority queue
            heapq.heappush(queue, (item, idx, input_iter))
        except StopIteration:
            # If the input is empty, skip it
            pass

    # While the priority queue is not empty
    while queue:
        # Get the smallest item from the priority queue
        item, idx, input_iter = heapq.heappop(queue)
        # Yield the smallest item
        yield item
        # Try to get the next item from the input iterator
        try:
            # Get the next item from the input iterator
            next_item = next(input_iter)
            # Push the next item, its index, and the input iterator onto the priority queue
            heapq.heappush(queue, (next_item, idx, input_iter))
        except StopIteration:
            # If the input iterator is exhausted, skip it
            pass"
109,Write a python function to find the count of rotations of a binary string with odd value.,"def odd_Equivalent(s,n): 
    count=0
    for i in range(0,n): 
        if (s[i] == '1'): 
            count = count + 1
    return count ","['assert odd_Equivalent(""011001"",6) == 3'
 'assert odd_Equivalent(""11011"",5) == 4'
 'assert odd_Equivalent(""1010"",4) == 2']",,[],odd_Equivalent,"
<question>
Write a python function to find the count of rotations of a binary string with odd value.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: odd_Equivalent</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def odd_Equivalent(s):
    count = 0
    for i in range(len(s)):
        rotated_s = s[i:] + s[:i]
        if int(rotated_s, 2) % 2 != 0:
            count += 1
    return count"
110,Write a function to extract the ranges that are missing from the given list with the given start range and end range values.,"def extract_missing(test_list, strt_val, stop_val):
  res = []
  for sub in test_list:
    if sub[0] > strt_val:
      res.append((strt_val, sub[0]))
      strt_val = sub[1]
    if strt_val < stop_val:
      res.append((strt_val, stop_val))
  return (res) ","['assert extract_missing([(6, 9), (15, 34), (48, 70)], 2, 100) == [(2, 6), (9, 100), (9, 15), (34, 100), (34, 48), (70, 100)]'
 'assert extract_missing([(7, 2), (15, 19), (38, 50)], 5, 60) == [(5, 7), (2, 60), (2, 15), (19, 60), (19, 38), (50, 60)]'
 'assert extract_missing([(7, 2), (15, 19), (38, 50)], 1, 52) == [(1, 7), (2, 52), (2, 15), (19, 52), (19, 38), (50, 52)]']",,[],extract_missing,"
<question>
Write a function to extract the ranges that are missing from the given list with the given start range and end range values.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: extract_missing</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def extract_missing(given_list, start_range, end_range):
    """"""
    This function is designed to extract the ranges that are missing from the given list 
    with the given start range and end range values.

    Args:
        given_list (list): A list of integers representing the available numbers.
        start_range (int): The starting point of the range.
        end_range (int): The ending point of the range.

    Returns:
        list: A list of missing ranges.
    """"""

    # Create a set for efficient lookups
    given_set = set(given_list)

    # Initialize variables to store the missing ranges
    missing_ranges = []
    current_start_range = start_range
    current_end_range = None

    # Iterate through each number in the specified range
    for num in range(start_range, end_range + 1):
        # If the number is not present in the given list and we haven't started a new range yet
        if num not in given_set and current_end_range is None:
            current_start_range = num
        # If the number is present in the given list and we have an ongoing range
        elif num in given_set and current_end_range is not None:
            # Add the ongoing range to the list of missing ranges and reset everything
            missing_ranges.append([current_start_range, current_end_range])
            current_start_range = None
            current_end_range = None
        # If the number is not present in the given list and we have an ongoing range
        elif num not in given_set and current_end_range is not None:
            current_end_range = num
        # If the number is present in the given list but we have an ongoing end range
        elif num not in given_set and current_end_range is None and current_start_range == num:
            current_end_range = num

    # Handle the edge case where the last range hasn't been added to the list yet
    if current_end_range is not None:
        missing_ranges.append([current_start_range, current_end_range])
    elif current_start_range is not None:
        missing_ranges.append([current_start_range, end_range])

    return missing_ranges"
111,Write a function to find common elements in given nested lists. * list item * list item * list item * list item,"def common_in_nested_lists(nestedlist):
    result = list(set.intersection(*map(set, nestedlist)))
    return result","['assert common_in_nested_lists([[12, 18, 23, 25, 45], [7, 12, 18, 24, 28], [1, 5, 8, 12, 15, 16, 18]])==[18, 12]'
 'assert common_in_nested_lists([[12, 5, 23, 25, 45], [7, 11, 5, 23, 28], [1, 5, 8, 18, 23, 16]])==[5,23]'
 'assert common_in_nested_lists([[2, 3,4, 1], [4, 5], [6,4, 8],[4, 5], [6, 8,4]])==[4]']",,[],common_in_nested_lists,"
<question>
Write a function to find common elements in given nested lists. * list item * list item * list item * list item
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: common_in_nested_lists</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def common_in_nested_lists(*lists):
    """"""
    Find common elements in given nested lists.
    
    Args:
        *lists: A variable number of lists.
    
    Returns:
        A set of common elements.
    """"""
    # Flatten the nested lists
    flat_lists = [item for sublist in lists for item in sublist]
    
    # Create a dictionary to store the count of each element
    count_dict = {}
    for item in flat_lists:
        if item in count_dict:
            count_dict[item] += 1
        else:
            count_dict[item] = 1
    
    # Find elements that appear in all lists
    common_elements = set()
    for key, value in count_dict.items():
        if value == len(lists):
            common_elements.add(key)
    
    return common_elements"
112,Write a python function to find the perimeter of a cylinder.,"def perimeter(diameter,height) : 
    return 2*(diameter+height)  ","['assert perimeter(2,4) == 12' 'assert perimeter(1,2) == 6'
 'assert perimeter(3,1) == 8']",,[],perimeter,"
<question>
Write a python function to find the perimeter of a cylinder.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: perimeter</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","import math

def perimeter(radius, height):
    """"""
    Calculate the perimeter of a cylinder.

    Args:
    radius (float): The radius of the cylinder.
    height (float): The height of the cylinder.

    Returns:
    float: The perimeter of the cylinder.
    """"""
    # Calculate the perimeter using the formula: Perimeter = 2 * π * radius + 2 * height
    cylinder_perimeter = 2 * math.pi * radius + 2 * height
    
    return cylinder_perimeter"
113,Write a function to check if a string represents an integer or not.,"def check_integer(text):
 text = text.strip()
 if len(text) < 1:
    return None
 else:
     if all(text[i] in ""0123456789"" for i in range(len(text))):
          return True
     elif (text[0] in ""+-"") and \
         all(text[i] in ""0123456789"" for i in range(1,len(text))):
         return True
     else:
        return False","['assert check_integer(""python"")==False' 'assert check_integer(""1"")==True'
 'assert check_integer(""12345"")==True']",,[],check_integer,"
<question>
Write a function to check if a string represents an integer or not.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: check_integer</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def check_integer(s):
    try:
        int(s)
        return True
    except ValueError:
        return False"
114,Write a function to assign frequency to each tuple in the given tuple list.,"from collections import Counter 
def assign_freq(test_list):
  res = [(*key, val) for key, val in Counter(test_list).items()]
  return (str(res)) ","[""assert assign_freq([(6, 5, 8), (2, 7), (6, 5, 8), (6, 5, 8), (9, ), (2, 7)] ) == '[(6, 5, 8, 3), (2, 7, 2), (9, 1)]'""
 ""assert assign_freq([(4, 2, 4), (7, 1), (4, 8), (4, 2, 4), (9, 2), (7, 1)] ) == '[(4, 2, 4, 2), (7, 1, 2), (4, 8, 1), (9, 2, 1)]'""
 ""assert assign_freq([(11, 13, 10), (17, 21), (4, 2, 3), (17, 21), (9, 2), (4, 2, 3)] ) == '[(11, 13, 10, 1), (17, 21, 2), (4, 2, 3, 2), (9, 2, 1)]'""]",,[],assign_freq,"
<question>
Write a function to assign frequency to each tuple in the given tuple list.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: assign_freq</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def assign_freq(tuples_list):
    freq_dict = {}
    freq_list = []
    
    # Iterate over each tuple in the list
    for tup in tuples_list:
        # Increment frequency in dictionary
        freq_dict[tup] = freq_dict.get(tup, 0) + 1
    
    # Create a new list of tuples with frequency
    for tup in tuples_list:
        freq_list.append((tup, freq_dict[tup]))
    
    return freq_list"
115,Write a function to check whether all dictionaries in a list are empty or not.,"def empty_dit(list1):
 empty_dit=all(not d for d in list1)
 return empty_dit","['assert empty_dit([{},{},{}])==True'
 'assert empty_dit([{1,2},{},{}])==False' 'assert empty_dit({})==True']",,[],empty_dit,"
<question>
Write a function to check whether all dictionaries in a list are empty or not.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: empty_dit</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def empty_dit(dict_list):
    return all(not d for d in dict_list)"
116,Write a function to convert a given tuple of positive integers into an integer.,"def tuple_to_int(nums):
    result = int(''.join(map(str,nums)))
    return result","['assert tuple_to_int((1,2,3))==123' 'assert tuple_to_int((4,5,6))==456'
 'assert tuple_to_int((5,6,7))==567']",,[],tuple_to_int,"
<question>
Write a function to convert a given tuple of positive integers into an integer.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: tuple_to_int</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","from functools import reduce

def tuple_to_int(tuple_of_ints):
    """"""
    Convert a given tuple of positive integers into an integer.
    
    This function concatenates all integers in the tuple to form a new integer.
    
    :param tuple_of_ints: Tuple of positive integers
    :return: Integer
    """"""
    return reduce(lambda x, y: int(str(x) + str(y)), tuple_of_ints)"
117,Write a function to convert all possible convertible elements in the list to float.,"def list_to_float(test_list):
  res = []
  for tup in test_list:
    temp = []
    for ele in tup:
      if ele.isalpha():
        temp.append(ele)
      else:
        temp.append(float(ele))
    res.append((temp[0],temp[1])) 
  return (str(res)) ","['assert list_to_float( [(""3"", ""4""), (""1"", ""26.45""), (""7.32"", ""8""), (""4"", ""8"")] ) == \'[(3.0, 4.0), (1.0, 26.45), (7.32, 8.0), (4.0, 8.0)]\''
 'assert list_to_float( [(""4"", ""4""), (""2"", ""27""), (""4.12"", ""9""), (""7"", ""11"")] ) == \'[(4.0, 4.0), (2.0, 27.0), (4.12, 9.0), (7.0, 11.0)]\''
 'assert list_to_float( [(""6"", ""78""), (""5"", ""26.45""), (""1.33"", ""4""), (""82"", ""13"")] ) == \'[(6.0, 78.0), (5.0, 26.45), (1.33, 4.0), (82.0, 13.0)]\'']",,[],list_to_float,"
<question>
Write a function to convert all possible convertible elements in the list to float.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: list_to_float</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def list_to_float(lst):
    """"""
    This function takes a list of elements as input and converts all possible convertible elements to float.
    
    Args:
        lst (list): The input list containing elements to be converted to float.
    
    Returns:
        list: A new list containing the input elements converted to float where possible.
    """"""
    result = []
    for element in lst:
        try:
            result.append(float(element))
        except ValueError:
            result.append(element)
    return result"
118,[link text](https:// [link text](https:// [link text](https://)))write a function to convert a string to a list.,"def string_to_list(string): 
    lst = list(string.split("" "")) 
    return lst","['assert string_to_list(""python programming"")==[\'python\',\'programming\']'
 'assert string_to_list(""lists tuples strings"")==[\'lists\',\'tuples\',\'strings\']'
 'assert string_to_list(""write a program"")==[\'write\',\'a\',\'program\']']",,[],string_to_list,"
<question>
[link text](https:// [link text](https:// [link text](https://)))write a function to convert a string to a list.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: string_to_list</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def string_to_list(input_str):
    return list(input_str)"
119,Write a python function to find the element that appears only once in a sorted array.,"def search(arr,n) :
    XOR = 0
    for i in range(n) :
        XOR = XOR ^ arr[i]
    return (XOR)","['assert search([1,1,2,2,3],5) == 3'
 'assert search([1,1,3,3,4,4,5,5,7,7,8],11) == 8'
 'assert search([1,2,2,3,3,4,4],7) == 1']",,[],search,"
<question>
Write a python function to find the element that appears only once in a sorted array.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: search</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def search(nums):
    left, right = 0, len(nums) - 1
    while left < right:
        mid = left + (right - left) // 2
        if mid % 2 == 1:
            mid -= 1
        if nums[mid] == nums[mid + 1]:
            left = mid + 2
        else:
            right = mid
    return nums[left]"
120,Write a function to find the maximum product from the pairs of tuples within a given list.,"def max_product_tuple(list1):
    result_max = max([abs(x * y) for x, y in list1] )
    return result_max","['assert max_product_tuple([(2, 7), (2, 6), (1, 8), (4, 9)] )==36'
 'assert max_product_tuple([(10,20), (15,2), (5,10)] )==200'
 'assert max_product_tuple([(11,44), (10,15), (20,5), (12, 9)] )==484']",,[],max_product_tuple,"
<question>
Write a function to find the maximum product from the pairs of tuples within a given list.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: max_product_tuple</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def max_product_tuple(tuples_list):
    """"""
    This function calculates the maximum product from the pairs of tuples within a given list.

    Args:
        tuples_list (list): A list of tuples.

    Returns:
        int: The maximum product of two numbers from the tuples in the list.
    """"""

    # Initialize max_product as negative infinity to ensure that any product will be greater
    max_product = float('-inf')

    # Iterate over each tuple in the list
    for tup in tuples_list:
        # Iterate over each pair of numbers in the tuple
        for i in range(len(tup)):
            for j in range(i + 1, len(tup)):
                # Calculate the product of the current pair of numbers
                product = tup[i] * tup[j]
                # Update max_product if the current product is greater
                max_product = max(max_product, product)

    # Return the maximum product found
    return max_product"
121,Write a function to find the triplet with sum of the given array,"def check_triplet(A, n, sum, count):
    if count == 3 and sum == 0:
        return True
    if count == 3 or n == 0 or sum < 0:
        return False
    return check_triplet(A, n - 1, sum - A[n - 1], count + 1) or\
           check_triplet(A, n - 1, sum, count)","['assert check_triplet([2, 7, 4, 0, 9, 5, 1, 3], 8, 6, 0) == True'
 'assert check_triplet([1, 4, 5, 6, 7, 8, 5, 9], 8, 6, 0) == False'
 'assert check_triplet([10, 4, 2, 3, 5], 5, 15, 0) == True']",,[],check_triplet,"
<question>
Write a function to find the triplet with sum of the given array
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: check_triplet</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def check_triplet(nums, target):
    """"""
    This function checks if there exists a triplet in the given array with a sum equal to the target.

    Args:
    nums (list): A list of integers.
    target (int): The target sum.

    Returns:
    list: A triplet of integers if found, otherwise None.
    """"""
    nums.sort()
    for i in range(len(nums) - 2):
        left, right = i + 1, len(nums) - 1
        while left < right:
            current_sum = nums[i] + nums[left] + nums[right]
            if current_sum == target:
                return [nums[i], nums[left], nums[right]]
            elif current_sum < target:
                left += 1
            else:
                right -= 1
    return None

# Function to check for the given triplet
def find_triplet(nums, target):
    """""" Wrapper function to call check_triplet """"""
    result = check_triplet(nums, target)
    if result is not None:
        return result
    else:
        return ""NO RESULT""

# Entry point function 
def check_triplet_main() -> None:
    nums = [1, 2, 3, 4, 5]
    target = 10
    result = check_triplet(nums, target)
    if result is not None:
        print(result)
    else:
        print(""NO RESULT"")

check_triplet_main()"
122,Write a function to find n’th smart number.,"MAX = 3000 
def smartNumber(n): 
	primes = [0] * MAX 
	result = [] 
	for i in range(2, MAX): 
		if (primes[i] == 0): 
			primes[i] = 1 
			j = i * 2 
			while (j < MAX): 
				primes[j] -= 1 
				if ( (primes[j] + 3) == 0): 
					result.append(j) 
				j = j + i 
	result.sort() 
	return result[n - 1] ","['assert smartNumber(1) == 30' 'assert smartNumber(50) == 273'
 'assert smartNumber(1000) == 2664']",,[],smartNumber,"
<question>
Write a function to find n’th smart number.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: smartNumber</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def is_smart_number(n):
    """"""
    Checks if a number is a smart number. A smart number is a number 
    for which the square of its first digit equals the remainder when 
    the number is divided by its digit count plus one.
    """"""
    digit_count = len(str(n))
    digit = int(str(n)[0])
    return digit ** 2 == n % (digit_count + 1)


def smartNumber(n):
    """"""
    Returns the nth smart number.

    Args:
    n (int): The position of the smart number to find.

    Returns:
    int: The nth smart number.
    """"""
    count = 0
    num = 1
    while True:
        if is_smart_number(num):
            count += 1
            if count == n:
                return num
        num += 1"
123,Write a function to sum all amicable numbers from 1 to a specified number.,"def amicable_numbers_sum(limit):
    if not isinstance(limit, int):
        return ""Input is not an integer!""
    if limit < 1:
        return ""Input must be bigger than 0!""
    amicables = set()
    for num in range(2, limit+1):
        if num in amicables:
            continue
        sum_fact = sum([fact for fact in range(1, num) if num % fact == 0])
        sum_fact2 = sum([fact for fact in range(1, sum_fact) if sum_fact % fact == 0])
        if num == sum_fact2 and num != sum_fact:
            amicables.add(num)
            amicables.add(sum_fact2)
    return sum(amicables)","['assert amicable_numbers_sum(999)==504'
 'assert amicable_numbers_sum(9999)==31626'
 'assert amicable_numbers_sum(99)==0']",,[],amicable_numbers_sum,"
<question>
Write a function to sum all amicable numbers from 1 to a specified number.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: amicable_numbers_sum</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def sum_of_divisors(n):
    """"""Calculate the sum of divisors for a number.""""""
    return sum(i for i in range(1, n) if n % i == 0)


def is_perfect(n):
    """"""Check if a number is perfect (i.e., its divisors sum equals the number itself).""""""
    return n == sum_of_divisors(n)


def is_amicable(a, b):
    """"""Check if two numbers are amicable.""""""
    return sum_of_divisors(a) == b and sum_of_divisors(b) == a


def amicable_numbers_sum(n):
    """"""Calculate the sum of all amicable numbers from 1 to n.""""""
    total = 0
    for i in range(1, n + 1):
        if not is_perfect(i):  # Perfect numbers are not considered amicable
            for j in range(i + 1, n + 1):
                if is_amicable(i, j):
                    total += i + j
    return total"
124,Write a function to get the angle of a complex number.,"import cmath
def angle_complex(a,b):
  cn=complex(a,b)
  angle=cmath.phase(a+b)
  return angle","['assert angle_complex(0,1j)==1.5707963267948966 '
 'assert angle_complex(2,1j)==0.4636476090008061'
 'assert angle_complex(0,2j)==1.5707963267948966']",,[],angle_complex,"
<question>
Write a function to get the angle of a complex number.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: angle_complex</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","import cmath

def angle_complex(c):
    """"""
    This function returns the angle of a complex number.

    Args:
        c (complex): The input complex number.

    Returns:
        float: The angle of the complex number in radians.
    """"""

    # Calculate the angle using the cmath.phase function
    angle = cmath.phase(c)

    return angle"
125,Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,"def find_length(string, n): 
	current_sum = 0
	max_sum = 0
	for i in range(n): 
		current_sum += (1 if string[i] == '0' else -1) 
		if current_sum < 0: 
			current_sum = 0
		max_sum = max(current_sum, max_sum) 
	return max_sum if max_sum else 0","['assert find_length(""11000010001"", 11) == 6'
 'assert find_length(""10111"", 5) == 1'
 'assert find_length(""11011101100101"", 14) == 2 ']",,[],find_length,"
<question>
Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: find_length</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def find_length(s):
    """"""
    This function calculates the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.

    Args:
    s (str): The input binary string.

    Returns:
    int: The maximum difference between the number of 0s and number of 1s.
    """"""
    max_diff = 0  # Initialize the maximum difference
    count = 0  # Initialize the count of 0s and 1s

    for char in s:  # Iterate over each character in the string
        if char == '0':  # If the character is '0', decrement the count
            count -= 1
        else:  # If the character is '1', increment the count
            count += 1
        max_diff = max(max_diff, count)  # Update the maximum difference

    # The maximum difference is the maximum of the calculated difference and the negative of the count
    return max(max_diff, -min(count, 0))"
126,Write a python function to find the sum of common divisors of two given numbers.,"def sum(a,b): 
    sum = 0
    for i in range (1,min(a,b)): 
        if (a % i == 0 and b % i == 0): 
            sum += i 
    return sum","['assert sum(10,15) == 6' 'assert sum(100,150) == 93'
 'assert sum(4,6) == 3']",,[],sum,"
<question>
Write a python function to find the sum of common divisors of two given numbers.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: sum</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def sum(a, b):
    def get_divisors(n):
        divisors = [i for i in range(1, n + 1) if n % i == 0]
        return divisors

    divisors_a = get_divisors(a)
    divisors_b = get_divisors(b)
    common_divisors = set(divisors_a) & set(divisors_b)
    return sum(common_divisors)"
127,Write a function to multiply two integers without using the * operator in python.,"def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)","['assert multiply_int(10,20)==200' 'assert multiply_int(5,10)==50'
 'assert multiply_int(4,8)==32']",,[],multiply_int,"
<question>
Write a function to multiply two integers without using the * operator in python.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: multiply_int</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def multiply_int(a, b):
    """"""
    Multiplies two integers without using the * operator.

    Args:
        a (int): The first integer.
        b (int): The second integer.

    Returns:
        int: The product of a and b.
    """"""
    result = 0
    if a < 0:
        a = -a
        sign = -1
    else:
        sign = 1
    
    if b < 0:
        b = -b
        if sign == -1:
            sign = 1
        else:
            sign = -1
    
    while b > 0:
        result += a
        b -= 1
    
    return sign * result"
128,Write a function to shortlist words that are longer than n from a given list of words.,"def long_words(n, str):
    word_len = []
    txt = str.split("" "")
    for x in txt:
        if len(x) > n:
            word_len.append(x)
    return word_len	","['assert long_words(3,""python is a programming language"")==[\'python\',\'programming\',\'language\']'
 'assert long_words(2,""writing a program"")==[\'writing\',\'program\']'
 'assert long_words(5,""sorting list"")==[\'sorting\']']",,[],long_words,"
<question>
Write a function to shortlist words that are longer than n from a given list of words.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: long_words</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def long_words(word_list, n):
    """"""Returns a list of words that are longer than n.""""""
    return [word for word in word_list if len(word) > n]"
